day,mont,year,credited,debited,type,week_day,perc_remain
14,1,2021,8539118.476,6820150.319,N,4,0.201305107
15,1,2021,11186195.42,9203028.364,P,5,0.177287002
16,1,2021,2815664.943,1628156.059,N,6,0.421750779
17,1,2021,48262.34357,-36715.69905,N,7,1.760752511
18,1,2021,8905739.926,7054058.54,N,1,0.207919993
19,1,2021,9841581.329,7809971.802,N,2,0.206431208
20,1,2021,9152750.907,7055510.907,N,3,0.229137668
21,1,2021,9788434.512,7524197.957,N,4,0.231317536
22,1,2021,9986219.043,7797380.343,N,5,0.219185929
23,1,2021,145626.5531,-98546.84745,N,6,1.676709332
24,1,2021,38660.32552,-33421.84379,N,7,1.864499802
25,1,2021,12142378.21,9404943.243,N,1,0.225444713
26,1,2021,82155.42526,-87190.592,N,2,2.061288305
27,1,2021,11894524.47,9459098.188,N,3,0.204751883
28,1,2021,11374690.38,8780529.098,N,4,0.228064342
29,1,2021,16543260.77,13167412.74,N,5,0.204061828
30,1,2021,5444084.443,3430362.345,N,6,0.369891782
31,1,2021,84328.73176,-69331.32526,P,7,1.822155436
1,2,2021,15853315.23,12996447.84,N,1,0.180206307
2,2,2021,8745414.888,6367309.236,N,2,0.271925996
3,2,2021,9884445.398,7869679.971,N,3,0.203831914
4,2,2021,8729752.5,6573393.795,N,4,0.247012582
5,2,2021,10110515.21,7877117.248,N,5,0.220898532
6,2,2021,3997337.676,2156376.7,N,6,0.460546775
7,2,2021,63550.43505,-74423.23105,N,7,2.171089246
8,2,2021,9812671.39,7677950.614,N,1,0.217547362
9,2,2021,9228688.64,7169974.164,N,2,0.223077683
10,2,2021,9228675.545,7156710,N,3,0.224513857
11,2,2021,9726051.24,7409888.512,N,4,0.238140091
12,2,2021,10269840.71,7446728.595,N,5,0.274893467
13,2,2021,140543.013,-95386.09436,N,6,1.678696809
14,2,2021,47328.12764,-38242.80343,N,7,1.808035419
15,2,2021,9821114.681,7400560.074,P,1,0.246464346
16,2,2021,10615031.86,8539692.8,N,2,0.195509452
17,2,2021,9246741.388,7322200.626,N,3,0.208131782
18,2,2021,12286877.48,9980930.933,N,4,0.187675555
19,2,2021,3329700.419,1648819.995,N,5,0.504814311
20,2,2021,3767324.84,2374815.205,N,6,0.369628236
21,2,2021,58349.9315,-31789.7619,N,7,1.544812326
22,2,2021,11032524.6,8895369.405,N,1,0.193714066
23,2,2021,10196926.99,8014700.614,N,2,0.214008238
24,2,2021,10773295.48,8654536.336,N,3,0.196667691
25,2,2021,12246503.86,9330780.326,N,4,0.238086198
26,2,2021,15907045.65,11822709.6,N,5,0.256762704
27,2,2021,288346.4236,-164574.377,N,6,1.570752274
28,2,2021,78406.62498,-54140.22698,P,7,1.69050577
1,3,2021,12808807.82,9357095.374,N,1,0.269479603
2,3,2021,10446513.63,7962639.971,N,2,0.237770585
3,3,2021,9706659.54,7502746.826,N,3,0.227051614
4,3,2021,10057971.23,7686273.986,N,4,0.235802747
5,3,2021,11996080.4,9634047.457,N,5,0.196900393
6,3,2021,4551939.505,2661539.505,N,6,0.415295502
7,3,2021,64548.65305,-61360.09436,N,7,1.950602243
8,3,2021,12361113.64,10158237,N,1,0.178210209
9,3,2021,9765356.31,6944730.971,N,2,0.288839982
10,3,2021,11996359.57,9003975.295,N,3,0.249441029
11,3,2021,1578598.121,505244.3162,N,4,0.679941139
12,3,2021,16916201.35,13790844.1,N,5,0.184755264
13,3,2021,213533.585,-81906.68802,N,6,1.383577544
14,3,2021,60308.12252,-37956.6564,N,7,1.629378843
15,3,2021,14692688.94,12186769.04,P,1,0.170555567
16,3,2021,9326986.529,7581769.079,N,2,0.187114825
17,3,2021,13519106.57,10541453.28,N,3,0.220255183
18,3,2021,13459463.55,10324735.29,N,4,0.232901426
19,3,2021,13641413.25,10882649.93,N,5,0.202234422
20,3,2021,4657079.64,2813901.198,N,6,0.395779885
21,3,2021,100859.0692,-12685.9082,N,7,1.125778557
22,3,2021,13596265.76,10994382.65,N,1,0.19136748
23,3,2021,12844792.05,10058625.9,N,2,0.216910179
24,3,2021,14035904.6,10919049.4,N,3,0.222063009
25,3,2021,16694996.95,13468282.99,N,4,0.193274306
26,3,2021,21540714.89,17723167.07,N,5,0.17722475
27,3,2021,284133.3281,-91121.72857,N,6,1.320700599
28,3,2021,61719.70876,-126788.4207,N,7,3.054261487
29,3,2021,1947365.659,90286.05514,N,1,0.953636825
30,3,2021,20852684.73,16085938.48,N,2,0.228591489
31,3,2021,25320180.83,18102150.25,P,3,0.285070262
1,4,2021,156507.1376,-289459.4736,N,4,2.849496949
2,4,2021,1665722.753,412154.7074,N,5,0.752567042
3,4,2021,8775955.079,6496964.39,N,6,0.259685774
4,4,2021,72997.70155,-59390.49152,N,7,1.813593994
5,4,2021,15527420.39,12811890.44,N,1,0.174886097
6,4,2021,11288939.59,9263878.981,N,2,0.179384484
7,4,2021,10456949.59,8329583.755,N,3,0.203440383
8,4,2021,8838398.99,6731939,N,4,0.238330493
9,4,2021,11168736.68,8070207.998,N,5,0.277428752
10,4,2021,174417.4735,-89390.09583,N,6,1.51250654
